iter	Passed	Remaining
0	1	101
1	1	91
2	2	85
3	3	80
4	4	77
5	4	75
6	5	73
7	6	71
8	6	69
9	7	67
10	8	66
11	8	65
12	9	65
13	10	64
14	11	63
15	11	62
16	12	61
17	13	60
18	14	59
19	14	58
20	15	57
21	17	60
22	17	59
23	18	59
24	19	59
25	20	58
26	21	57
27	22	56
28	23	56
29	23	55
30	24	54
31	25	53
32	26	52
33	26	51
34	27	51
35	28	50
36	28	49
37	29	48
38	30	47
39	30	46
40	31	45
41	31	44
42	32	43
43	33	43
44	34	42
45	35	41
46	36	41
47	37	40
48	37	39
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	69	3
95	70	2
96	71	2
97	71	1
98	72	0
99	73	0
