iter	Passed	Remaining
0	1	1414
1	3	1716
2	4	1459
3	5	1445
4	7	1403
5	7	1323
6	8	1259
7	9	1206
8	10	1174
9	11	1145
10	12	1116
11	13	1098
12	14	1077
13	15	1060
14	15	1046
15	17	1052
16	18	1080
17	20	1097
18	21	1088
19	21	1075
20	22	1066
21	23	1056
22	24	1047
23	25	1041
24	26	1032
25	27	1024
26	28	1016
27	29	1008
28	29	1000
29	30	995
30	32	1025
31	34	1044
32	35	1038
33	36	1032
34	37	1025
35	38	1019
36	38	1013
37	39	1007
38	40	1003
39	41	998
40	42	995
41	43	992
42	44	986
43	45	983
44	46	978
45	48	1007
46	50	1016
47	51	1013
48	52	1010
49	53	1007
50	54	1007
51	55	1002
52	55	998
53	56	995
54	57	990
55	58	986
56	59	982
57	60	976
58	60	972
59	62	973
60	63	980
61	64	979
62	65	974
63	66	970
64	67	976
65	68	974
66	69	971
67	70	967
68	71	964
69	72	960
70	73	957
71	73	953
72	74	949
73	75	946
74	76	942
75	78	959
76	79	956
77	80	953
78	82	963
79	84	976
80	86	977
81	87	976
82	87	971
83	89	971
84	90	975
85	94	1005
86	95	1004
87	96	1002
88	97	1001
89	98	998
90	99	995
91	100	994
92	101	993
93	103	1000
94	104	998
95	106	1003
96	108	1009
97	109	1010
98	111	1014
99	112	1012
100	113	1011
101	115	1013
102	116	1013
103	117	1013
104	119	1022
105	121	1028
106	123	1028
107	124	1026
108	125	1024
109	126	1022
110	128	1027
111	129	1027
112	130	1024
113	131	1022
114	132	1020
115	133	1017
116	134	1013
117	137	1029
118	139	1036
119	141	1035
120	142	1038
121	144	1036
122	145	1038
123	146	1035
124	147	1035
125	149	1033
126	149	1029
127	151	1031
128	152	1029
129	153	1027
130	154	1025
131	156	1027
132	157	1024
133	158	1021
134	159	1018
135	159	1016
136	160	1014
137	161	1011
138	163	1009
139	164	1007
140	165	1009
141	166	1005
142	167	1003
143	168	1001
144	170	1004
145	172	1008
146	173	1007
147	174	1005
148	175	1002
149	176	1001
150	177	999
151	178	996
152	180	999
153	181	998
154	183	997
155	184	997
156	186	1000
157	187	999
158	189	1000
159	190	998
160	190	994
161	192	993
162	193	991
163	194	989
164	196	993
165	197	992
166	198	990
167	199	988
168	200	987
169	201	985
170	202	983
171	204	982
172	205	982
173	206	981
174	207	979
175	210	983
176	211	981
177	212	980
178	213	978
179	214	975
180	215	973
181	216	971
182	217	969
183	218	966
184	218	964
185	220	962
186	221	960
187	224	969
188	225	968
189	226	966
190	227	964
191	228	962
192	229	960
193	230	958
194	231	956
195	232	954
196	233	952
197	234	950
198	235	949
199	239	959
200	241	958
201	242	958
202	244	958
203	245	957
204	246	956
205	247	954
206	248	953
207	249	951
208	251	949
209	253	954
210	254	953
211	256	951
212	257	951
213	258	949
214	259	947
215	260	945
216	261	944
217	262	942
218	263	940
219	264	938
220	265	936
221	268	940
222	269	938
223	270	936
224	271	935
225	272	934
226	273	932
227	275	931
228	276	929
229	277	927
230	278	926
231	279	924
232	280	922
233	281	920
234	282	920
235	284	921
236	286	921
237	287	919
238	288	918
239	289	916
240	290	914
241	291	913
242	292	911
243	293	909
244	294	908
245	298	915
246	299	913
247	300	912
248	301	910
249	302	908
250	303	906
251	304	905
252	305	903
253	306	901
254	307	899
255	309	898
256	311	900
257	312	899
258	313	898
259	315	898
260	316	896
261	317	895
262	318	893
263	319	891
264	320	889
265	321	887
266	322	885
267	323	884
268	325	883
269	327	884
270	328	883
271	329	882
272	331	881
273	332	880
274	333	879
275	334	877
276	335	876
277	337	876
278	338	874
279	343	883
280	350	897
281	354	903
282	356	903
283	359	905
284	360	904
285	361	903
286	363	901
287	364	899
288	365	898
289	366	896
290	367	894
291	369	896
292	371	895
293	374	900
294	376	898
295	377	896
296	378	894
297	379	892
298	380	891
299	381	889
300	382	887
301	384	889
302	385	887
303	387	886
304	388	884
305	389	882
306	390	880
307	391	879
308	392	877
309	393	875
310	394	873
311	395	871
312	396	870
313	397	868
314	403	877
315	405	877
316	407	878
317	408	876
318	409	874
319	411	874
320	412	873
321	415	875
322	417	874
323	418	874
324	420	872
325	421	871
326	422	869
327	423	868
328	425	867
329	426	865
330	429	867
331	430	865
332	431	864
333	432	862
334	433	861
335	435	860
336	436	858
337	437	856
338	438	854
339	439	853
340	441	852
341	443	852
342	444	850
343	445	849
344	446	848
345	448	847
346	449	845
347	450	844
348	451	842
349	452	841
350	454	839
351	455	837
352	457	838
353	458	837
354	460	836
355	461	834
356	462	833
357	463	831
358	465	830
359	466	828
360	467	827
361	468	825
362	469	824
363	472	825
364	473	824
365	474	822
366	476	821
367	477	819
368	478	818
369	480	817
370	481	815
371	482	814
372	483	813
373	485	812
374	487	811
375	488	810
376	489	809
377	491	808
378	492	806
379	493	804
380	494	803
381	496	802
382	497	801
383	498	799
384	500	798
385	501	797
386	502	796
387	503	794
388	504	793
389	506	792
390	507	790
391	508	789
392	509	787
393	510	785
394	512	784
395	513	783
396	515	782
397	516	780
398	517	779
399	518	777
400	519	776
401	520	774
402	521	773
403	523	771
404	524	770
405	525	768
406	526	767
407	527	765
408	530	766
409	531	765
410	533	764
411	534	762
412	535	760
413	536	759
414	537	758
415	538	756
416	539	754
417	540	753
418	542	751
419	544	751
420	545	749
421	546	748
422	547	746
423	548	745
424	549	744
425	550	742
426	551	740
427	552	738
428	554	737
429	555	736
430	557	735
431	558	734
432	559	732
433	560	731
434	562	730
435	563	728
436	564	726
437	565	725
438	566	724
439	567	722
440	569	721
441	570	719
442	572	720
443	574	718
444	575	717
445	576	716
446	577	714
447	578	712
448	579	711
449	580	709
450	581	708
451	582	706
452	583	705
453	584	703
454	587	703
455	588	702
456	589	700
457	590	699
458	592	698
459	593	696
460	594	695
461	595	693
462	596	692
463	597	690
464	598	689
465	599	687
466	601	686
467	603	685
468	604	684
469	605	682
470	606	681
471	607	679
472	608	678
473	609	676
474	610	675
475	611	673
476	613	672
477	614	670
478	616	670
479	617	669
480	618	667
481	619	665
482	620	664
483	621	662
484	622	661
485	623	659
486	624	658
487	625	656
488	627	655
489	628	653
490	629	652
491	631	652
492	633	651
493	634	649
494	635	648
495	636	647
496	637	645
497	638	643
498	639	642
499	640	640
500	641	639
501	643	638
502	646	638
503	647	637
504	648	635
505	649	633
506	650	632
507	651	630
508	652	629
509	653	627
510	654	626
511	655	624
512	656	623
513	657	622
514	659	620
515	660	619
516	661	618
517	662	616
518	663	615
519	664	613
520	665	612
521	666	610
522	667	609
523	668	607
524	669	606
525	670	604
526	672	603
